time,power_5m,power_10m,power_15m
0,0,0,0
0.19999999,0,0,0
0.39999998,0,0,0
0.59999996,0,0,0
0.79999995,0,0,0
0.99999994,0,0,0
1.1999999,0,0,0
1.4,0,0,0
1.5999999,0,0,0
1.8,0,0,0
1.9999999,0,0,0
2.2,0.00000000000024519978,0,0
2.3999999,0.0000000000037576283,0,0
2.6,0.000000000039279847,0,0
2.8,0.00000000031221992,0,0
2.9999998,0.0000000020475663,0,0
3.1999998,0.000000011394414,0,0
3.4,0.00000005467,0,0
3.6,0.00000022822394,0,0
3.8,0.00000082970473,0,0
3.9999998,0.0000026399675,0,0
4.2,0.000007382093,0,0
4.4,0.000018176419,0,0
4.6,0.000039428804,0,0
4.7999997,0.00007531636,0,0
5,0.00012638979,0,0
5.2,0.0001851385,0,0
5.3999996,0.00023345982,0,0
5.6,0.00024640554,0,0
5.7999997,0.00020552328,0,0
5.9999995,0.00011812453,0,0
6.2,0.000028535578,0,0
6.3999996,0.0000044654453,0,0
6.5999994,0.0000978771,0.0000000000001330136,0
6.8,0.00030530247,0.0000000000013541524,0
7,0.0005603938,0.000000000009051296,0
7.2,0.00076752866,0.000000000041127213,0
7.4,0.00085156393,0.00000000018092458,0
7.6,0.00079047936,0.00000000067549605,0
7.7999997,0.0006164625,0.0000000023586306,0
7.9999995,0.0003944807,0.000000007698299,0
8.2,0.00019354442,0.000000023326326,0
8.4,0.00006052627,0.00000006594131,0
8.599999,0.0000065758113,0.00000017398085,0
8.8,0.000016116323,0.00000042686793,0
9,0.000073006726,0.0000009738892,0
9.2,0.00017941538,0.000002063395,0
9.4,0.0003474155,0.0000040513196,0
9.599999,0.0005612602,0.000007357133,0
9.799999,0.0007438831,0.000012302215,0
10,0.00079434586,0.000018831097,0
10.2,0.00068454834,0.000026166043,0
10.4,0.0004869575,0.000032577613,0
10.599999,0.0002933864,0.000035569006,0
10.799999,0.00014544994,0.00003276754,0
11,0.0000462653,0.000023524251,0
11.2,0.0000022296392,0.000010622123,0.0000000000000035527137
11.4,0.000037996702,0.0000009131911,0.0000000000004986589
11.599999,0.00016994274,0.0000038101139,0.000000000003502123
11.799999,0.0003641309,0.000027301994,0.000000000017212778
11.999999,0.000536833,0.00007271314,0.000000000061982655
12.200001,0.0006204664,0.00013114439,0.00000000018763548
12.4,0.00062280154,0.00018469614,0.0000000005276817
12.6,0.00059809803,0.00021332821,0.0000000014321144
12.799999,0.0005699969,0.00020444795,0.00000000384977
13,0.0004962627,0.00016008486,0.000000009958114
13.199999,0.0003241378,0.000096941076,0.000000024317023
13.4,0.00011215181,0.00003874611,0.00000005573436
13.6,0.000008114451,0.0000050970566,0.00000012153423
13.8,0.000045420657,0.0000032648934,0.00000025342166
14,0.00012758872,0.000027314029,0.0000005012864
14.2,0.0002093529,0.00006386866,0.0000009352683
14.4,0.00032709353,0.000099746,0.0000016412544
14.599999,0.0005058635,0.00012676942,0.000002708501
14.8,0.00068821106,0.00014224337,0.000004192023
15,0.0007621638,0.00014653069,0.0000060491584
15.2,0.00068883254,0.00014028334,0.000008061828
15.4,0.0005253743,0.00012334218,0.000009801435
15.599999,0.0003338241,0.000095863754,0.000010684231
15.799999,0.0001550875,0.000060878872,0.00001013687
15.999999,0.000035858306,0.000026227977,0.000007887772
16.2,0.0000053345807,0.0000034619547,0.0000043674513
16.4,0.000047383102,0.0000031706895,0.0000010097347
16.6,0.00014143603,0.000029020483,0.00000018298498
16.8,0.00029232755,0.000074393,0.000004564702
17,0.0004886391,0.00012439495,0.000015984391
17.199999,0.0006570368,0.00016243945,0.00003410077
17.4,0.0007190709,0.00017753972,0.000055572127
17.6,0.0006794953,0.00016802095,0.00007444779
17.8,0.0005840687,0.00014007412,0.000084091895
18,0.00044089922,0.00010311541,0.000080050886
18.199999,0.00025227855,0.00006545579,0.00006256245
18.4,0.00008415659,0.000032726424,0.00003731263
18.6,0.000009419916,0.0000092266,0.000013678375
18.8,0.00001796773,0.000000037222847,0.00000086490934
19,0.00007585681,0.000010822079,0.0000037360142
19.199999,0.00019547273,0.000043571665,0.000020679603
19.4,0.00039847498,0.0000913609,0.000044688655
